시/도,구,단지명,URL,입주일자,세대수,최고가,최저가(22년이후),최저가(2개월이내),매물최저가,최저비율,매물개수,80%이하rur개수,전세매물최고,전세가율,전세매물최저,전세매물개수
서울특별시,강북구,삼성(소형),https://new.land.naver.com/complexes/3132,1998.12.03.,228세대(1동),6억,4억6천300,5억2천,5억3천,-11,5건,0건,,,,
서울특별시,강북구,신원(국평),https://new.land.naver.com/complexes/1008,2000.06.08.,285세대(3동),6억5천500,5억8천500,0,5억2천,-20,17건,1건,3억5천,49,3억5천,2건
서울특별시,강북구,래미안수유(소형),https://new.land.naver.com/complexes/3132,2001.11.29.,"690세대(기타임대 180세대 포함, 총7동)",6억8천,5억,5억7천,5억2천,-23,14건,4건,4억,62,3억8천,7건
서울특별시,강북구,벽산라이브파크(소형),https://new.land.naver.com/complexes/3099,2004.08.07.,"1,585세대(19동)",7억2천,4억5천900,4억9천500,5억,-30,17건,15건,3억7천,64,3억5천,7건
서울특별시,강북구,번동솔그린(소형),https://new.land.naver.com/complexes/3128,1999.09.16.,380세대(4동),5억9천800,4억2천,0,4억5천,-24,8건,5건,3억1천,57,3억1천,1건
서울특별시,강북구,신원(소형),https://new.land.naver.com/complexes/1008,2000.06.08.,285세대(3동),5억3천500,3억8천,0,4억5천,-15,2건,0건,3억2천,71,3억,4건
서울특별시,강북구,기산그린(소형),https://new.land.naver.com/complexes/3126,2000.02.24.,263세대(2동),5억5천900,4억500,4억500,3억8천,-32,9건,6건,3억,64,3억,1건
서울특별시,강서구,마곡엠밸리6단지(국평),https://new.land.naver.com/complexes/107506,2014.06.12.,"1,466세대(국민임대 293세대, 장기전세 628세대 포함, 총19동)",14억5천,10억8천,12억6천500,13억6천,-6,4건,0건,7억,43,7억,1건
서울특별시,강서구,마곡13단지힐스테이트마스터(국평),https://new.land.naver.com/complexes/109799,2017.04.10.,"1,194세대(22동)",16억8천,10억9천,0,13억3천,-20,20건,1건,7억5천,48,6억8천,6건
서울특별시,강서구,마곡힐스테이트(국평),https://new.land.naver.com/complexes/108359,2017.08.03.,"603세대(장기전세 59세대 포함, 총8동)",15억500,11억6천,13억,13억1천,-12,18건,0건,7억5천,45,6억8천,5건
서울특별시,강서구,마곡엠밸리9단지(국평),https://new.land.naver.com/complexes/131224,2021.02.15.,"1,529세대(국민임대 512세대, 공공임대 55세대 포함, 총19동)",13억7천300,10억6천,0,13억,-5,8건,0건,7억3천,49,7억3천,1건
서울특별시,강서구,마곡엠밸리10단지(국평),https://new.land.naver.com/complexes/112279,2016.08.09.,"550세대(기타임대 492세대 포함, 총8동)",13억7천,11억2천500,0,13억,-5,1건,0건,,,,
서울특별시,강서구,마곡엠밸리12단지(국평),https://new.land.naver.com/complexes/112281,2016.09.12.,"363세대(기타임대 269세대 포함, 총6동)",11억9천700,11억9천700,0,13억,8,8건,0건,7억8천,46,7억5천,5건
서울특별시,강서구,우장산숲아이파크(국평),https://new.land.naver.com/complexes/131485,2022.11.,576세대(10동),11억5천,11억5천,0,13억,13,3건,0건,7억9천,56,7억9천,1건
서울특별시,강서구,e편한세상염창(국평),https://new.land.naver.com/complexes/115965,2019.03.,"499세대(기타임대 56세대 포함, 총6동)",15억2천,11억,0,13억,-14,12건,0건,8억7천,60,8억5천,2건
서울특별시,강서구,마곡엠밸리8단지(국평),https://new.land.naver.com/complexes/112211,2016.07.22.,"531세대(기타임대 265세대 포함, 총10동)",12억7천,11억5천,12억7천,12억9천,1,9건,0건,,,,
서울특별시,강서구,마곡엠벨리(14단지)(국평),https://new.land.naver.com/complexes/107477,2014.05.29.,"1,270세대(국민임대 274세대, 장기전세 617세대 포함, 총13동)",14억6천500,12억3천,0,12억7천,-13,4건,0건,7억3천,51,7억3천,1건
서울특별시,강서구,마곡엠밸리2단지(국평),https://new.land.naver.com/complexes/107960,2014.06.19.,"408세대(기타임대 242세대 포함, 총6동)",12억2천500,12억,12억2천500,12억3천,0,7건,0건,7억3천,46,6억8천,3건
